title,mpaa_rating,budget,log_budget,opening_weekend,runtime,theaters,year
The Wendell Baker Story,PG-13,8000000,6.9,48120,99,17,2005
Manderlay,NOT RATED,14200000,7.15,15117,139,2,2005
Fantastic Four,PG-13,120000000,8.08,25685737,106,3995,2005
Down in the Valley,R,8000000,6.9,22806,114,3,2005
Fateless,R,12000000,7.08,12680,140,1,2005
The Nativity Story,PG,35000000,7.54,7849304,101,3083,2006
Turistas,R,10000000,7,3582554,93,1570,2006
The Illusionist,PG-13,16500000,7.22,927956,110,51,2006
Trust the Man,R,9000000,6.95,180271,103,38,2006
Crank,R,12000000,7.08,10457367,88,2515,2006
Crossover,PG-13,5600000,6.75,3767567,95,1023,2006
Wah-Wah,R,7000000,6.85,55304,120,26,2006
Keeping Up with the Steins,PG-13,5000000,6.7,653723,90,138,2006
The Break-Up,PG-13,52000000,7.72,39172785,106,3070,2006
When a Stranger Calls,PG-13,15000000,7.18,21607203,87,2999,2006
16 Blocks,PG-13,45000000,7.65,11855260,102,2706,2006
Ultraviolet,PG-13,30000000,7.48,9064880,88,2558,2006
Aquamarine,PG,12000000,7.08,7482669,104,2512,2006
Flushed Away,PG,149000000,8.17,18814323,85,3707,2006
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,R,18000000,7.26,26455463,84,837,2006
Talladega Nights: The Ballad of Ricky Bobby,PG-13,73000000,7.86,47042215,108,3803,2006
The Descent,R,7000000,6.85,8911330,99,2095,2006
Mission: Impossible III,PG-13,150000000,8.18,47743273,126,4054,2006
Hoot,PG,15000000,7.18,3368197,91,3018,2006
An American Haunting,PG-13,14000000,7.15,5783508,83,1680,2006
BloodRayne,R,25000000,7.4,1550000,95,985,2006
Grandma's Boy,R,5000000,6.7,3009341,94,2016,2006
The Departed,R,90000000,7.95,26887467,151,3017,2006
The Texas Chainsaw Massacre: The Beginning,R,16000000,7.2,18508228,91,2820,2006
Employee of the Month,PG-13,10000000,7,11407751,103,2579,2006
The Benchwarmers,PG-13,35000000,7.54,19656429,80,3274,2006
Take the Lead,PG-13,30000000,7.48,12051277,118,3009,2006
Lucky Number Slevin,R,27000000,7.43,7031921,110,1984,2006
Pirates of the Caribbean: Dead Man's Chest,PG-13,225000000,8.35,135634554,151,4133,2006
Blood Diamond,R,100000000,8,8648324,143,1910,2006
The Holiday,PG-13,85000000,7.93,12778913,138,2610,2006
Apocalypto,R,40000000,7.6,15005604,139,2465,2006
Unaccompanied Minors,PG,25000000,7.4,5815474,90,2775,2006
The Covenant,PG-13,20000000,7.3,8852458,97,2681,2006
World Trade Center,PG-13,65000000,7.81,18730762,129,2957,2006
The Proposition,R,20000000,7.3,32681,104,3,2006
Cars,G,70000000,7.85,60119509,117,3985,2006
A Prairie Home Companion,PG-13,10000000,7,4566293,105,760,2006
The Pink Panther,PG,80000000,7.9,20220412,93,3477,2006
Firewall,PG-13,50000000,7.7,13635463,105,2840,2006
Curious George,G,50000000,7.7,14703405,86,2566,2006
Final Destination 3,R,25000000,7.4,19173094,93,2880,2006
The Shaggy Dog,PG,60000000,7.78,16310058,98,3501,2006
Failure to Launch,PG-13,50000000,7.7,24411322,97,3057,2006
The Hills Have Eyes,R,17000000,7.23,15708512,107,2620,2006
Babel,R,20000000,7.3,389351,143,7,2006
A Good Year,PG-13,35000000,7.54,3721526,117,2066,2006
Stranger Than Fiction,PG-13,30000000,7.48,13411093,113,2264,2006
Zoom,PG,35000000,7.54,4510408,83,2501,2006
Pulse,PG-13,20500000,7.31,8203822,90,2323,2006
Step Up,PG-13,12000000,7.08,20659573,104,2467,2006
Kabhi Alvida Naa Kehna,R,10750000,7.03,1351786,193,64,2006
Poseidon,PG-13,160000000,8.2,22155410,98,3555,2006
Goal! The Dream Begins,PG-13,33000000,7.52,1921838,118,1007,2006
Just My Luck,PG-13,28000000,7.45,5692285,103,2541,2006
Last Holiday,PG-13,45000000,7.65,12806188,112,2514,2006
Glory Road,PG,30000000,7.48,13594734,118,2222,2006
Alex Rider: Operation Stormbreaker,PG,40000000,7.6,215177,93,221,2006
One Night with the King,PG,20000000,7.3,4106862,123,909,2006
Man of the Year,PG-13,20000000,7.3,12299380,115,2515,2006
The Grudge 2,PG-13,20000000,7.3,20825300,102,3211,2006
The Marine,PG-13,15000000,7.18,7138774,92,2545,2006
Infamous,R,13000000,7.11,452966,110,179,2006
Thank You for Smoking,R,7500000,6.88,262923,92,5,2006
The Wild,G,80000000,7.9,9684809,94,2854,2006
Scary Movie 4,PG-13,40000000,7.6,40222875,83,3602,2006
"You, Me and Dupree",PG-13,54000000,7.73,21525560,110,3131,2006
Eragon,PG,100000000,8,23239907,104,3020,2006
Charlotte's Web,G,82500000,7.92,11457353,97,3566,2006
The Pursuit of Happyness,PG-13,55000000,7.74,26541709,117,2852,2006
Renaissance,R,18000000,7.26,10800,105,2,2006
The Black Dahlia,R,60000000,7.78,10005895,121,2226,2006
Gridiron Gang,PG-13,30000000,7.48,14414630,125,3504,2006
The Fast and the Furious: Tokyo Drift,PG-13,85000000,7.93,23973840,104,3027,2006
The Lake House,PG,40000000,7.6,13616196,99,2645,2006
Nacho Libre,PG,32000000,7.51,28309599,92,3070,2006
Eight Below,PG,40000000,7.6,20188176,120,3066,2006
Date Movie,PG-13,20000000,7.3,19076261,83,2896,2006
V for Vendetta,R,50000000,7.7,25642640,132,3365,2006
She's the Man,PG-13,25000000,7.4,10730372,105,2623,2006
Find Me Guilty,R,13000000,7.11,608804,125,439,2006
The Queen,PG-13,15000000,7.18,122014,103,3,2006
Casino Royale,PG-13,102000000,8.01,40833156,144,3434,2006
Happy Feet,PG,85000000,7.93,41533432,108,3804,2006
Little Miss Sunshine,R,8000000,6.9,370998,101,7,2006
Snakes on a Plane,R,33000000,7.52,15206301,105,3555,2006
The Da Vinci Code,PG-13,125000000,8.1,77073388,149,3735,2006
Over the Hedge,PG,80000000,7.9,38457003,83,4059,2006
See No Evil,R,8000000,6.9,4581233,84,1257,2006
Rocky Balboa,PG,24000000,7.38,12158168,102,3017,2006
Underworld: Evolution,R,45000000,7.65,26857181,106,3207,2006
End of the Spear,PG-13,10000000,7,4281388,108,1162,2006
Jindabyne,R,10800000,7.03,28298,123,6,2006
Flags of Our Fathers,R,53000000,7.72,10245190,135,1876,2006
Marie Antoinette,PG-13,40000000,7.6,5361050,123,859,2006
The Prestige,PG-13,40000000,7.6,14801808,130,2281,2006
Flicka,PG,15000000,7.18,7703551,95,2877,2006
Fur: An Imaginary Portrait of Diane Arbus,R,16800000,7.23,28815,122,4,2006
The Sentinel,PG-13,60000000,7.78,14367854,108,2822,2006
Silent Hill,R,50000000,7.7,20152598,125,2926,2006
American Dreamz,PG-13,17000000,7.23,3667420,107,1500,2006
Friends with Money,R,6500000,6.81,589332,88,28,2006
Monster House,PG,75000000,7.88,22217226,91,3553,2006
Lady in the Water,PG-13,75000000,7.88,18044396,110,3235,2006
My Super Ex-Girlfriend,PG-13,30000000,7.48,8603460,95,2702,2006
Clerks II,R,5000000,6.7,10061132,97,2150,2006
Night at the Museum,PG,110000000,8.04,30433781,108,3685,2006
We Are Marshall,PG,65000000,7.81,6114264,131,2606,2006
Deck the Halls,PG,51000000,7.71,12001256,93,3205,2006
The Fountain,PG-13,35000000,7.54,3768702,96,1472,2006
For Your Consideration,PG-13,12000000,7.08,372012,86,23,2006
Flyboys,PG-13,60000000,7.78,6004219,140,2033,2006
All the King's Men,PG-13,55000000,7.74,3672366,128,1514,2006
Jackass Number Two,R,11000000,7.04,29002002,92,3059,2006
Click,PG-13,82500000,7.92,40011365,107,3749,2006
Peaceful Warrior,PG-13,10000000,7,80602,120,10,2006
Krrish,NOT RATED,10000000,7,643000,154,59,2006
Bobby,R,14000000,7.15,69039,117,2,2006
Doogal,G,20000000,7.3,3605899,78,2318,2006
Running Scared,R,17000000,7.23,3381974,122,1611,2006
Madea's Family Reunion,PG-13,10000000,7,30030661,107,2194,2006
Inside Man,R,50000000,7.7,28954945,129,2818,2006
Stay Alive,PG-13,20000000,7.3,10726406,85,2009,2006
Larry the Cable Guy: Health Inspector,PG-13,17000000,7.23,6922767,89,1710,2006
Edmond,R,10000000,7,19253,82,2,2006
Invincible,PG,40000000,7.6,17031122,105,2917,2006
Beerfest,R,17500000,7.24,7031228,110,2964,2006
Idlewild,R,15000000,7.18,5745780,121,973,2006
Severance,R,10000000,7,8316,96,2,2006
Dreamgirls,PG-13,75000000,7.88,378950,130,3,2006
Rang De Basanti,NOT RATED,5300000,6.72,701666,157,61,2006
The Lost City,R,9600000,6.98,191560,144,18,2006
